Name,Cloud Cover,Solar Radiation,Relative Humidity,Temperature,Wind Speed,Solar Energy
"Kyoto, Japan",100.0,77.3,62.3,60.0,3.4,0.3
"Kyoto, Japan",100.0,38.7,63.1,59.1,3.3,0.1
"Kyoto, Japan",100.0,0.0,63.9,58.2,3.1,0.0
"Kyoto, Japan",100.0,0.0,64.6,57.8,2.7,0.0
"Kyoto, Japan",100.0,0.0,65.2,57.5,2.2,0.0
"Kyoto, Japan",100.0,0.0,65.9,57.1,1.8,0.0
"Kyoto, Japan",100.0,3.3,66.2,57.4,2.2,0.0
"Kyoto, Japan",100.0,6.7,66.5,57.6,2.7,0.0
"Kyoto, Japan",100.0,10.0,66.8,57.8,3.1,0.0
"Kyoto, Japan",100.0,50.7,62.3,60.0,2.8,0.2
"Kyoto, Japan",100.0,91.3,57.7,62.2,2.4,0.3
"Kyoto, Japan",100.0,132.0,53.2,64.3,2.0,0.5
"Kyoto, Japan",100.0,274.0,50.1,66.5,2.2,1.0
"Kyoto, Japan",100.0,416.0,47.1,68.7,2.3,1.5
"Kyoto, Japan",100.0,558.0,44.0,71.0,2.5,2.0
"Kyoto, Japan",100.0,520.7,45.8,70.4,3.6,1.9
"Kyoto, Japan",100.0,483.3,47.7,69.8,4.7,1.7
"Kyoto, Japan",100.0,446.0,49.5,69.2,5.8,1.6
"Kyoto, Japan",100.0,317.7,61.5,65.5,6.4,1.1
"Kyoto, Japan",100.0,189.3,73.6,61.9,7.0,0.7
"Kyoto, Japan",100.0,61.0,85.6,58.2,7.6,0.2
"Kyoto, Japan",100.0,50.7,88.9,57.2,6.0,0.2
"Kyoto, Japan",100.0,40.3,92.1,56.3,4.5,0.1
"Kyoto, Japan",100.0,30.0,95.4,55.3,2.9,0.1
"Kyoto, Japan",100.0,20.0,95.4,55.5,2.8,0.1
"Kyoto, Japan",100.0,10.0,95.4,55.7,2.8,0.0
"Kyoto, Japan",100.0,0.0,95.4,55.8,2.7,0.0
"Kyoto, Japan",100.0,0.0,95.4,55.8,3.0,0.0
"Kyoto, Japan",100.0,0.0,95.3,55.8,3.3,0.0
"Kyoto, Japan",100.0,0.0,95.3,55.8,3.6,0.0
"Kyoto, Japan",,,,,,
"Kyoto, Japan",,,,,,
"Kyoto, Japan",,,,,,
"Kyoto, Japan",,,,,,
"Kyoto, Japan",,,,,,
"Kyoto, Japan",,,,,,
"Kyoto, Japan",,,,,,
"Kyoto, Japan",,,,,,
"Nara, Japan",22.7,751.0,42.7,69.5,7.4,2.7
"Nara, Japan",100.0,824.0,35.4,72.9,1.8,3.0
"Nara, Japan",100.0,828.0,31.8,72.9,0.4,3.0
"Nara, Japan",100.0,812.0,31.6,72.4,0.4,2.9
"Nara, Japan",100.0,772.0,33.5,71.0,0.7,2.8
"Nara, Japan",100.0,393.0,42.5,68.6,2.2,1.4
"Nara, Japan",100.0,308.0,53.2,65.7,4.3,1.1
"Nara, Japan",100.0,234.0,60.0,63.2,7.2,0.8
"Nara, Japan",100.0,177.0,64.5,61.1,4.9,0.6
"Nara, Japan",100.0,142.0,66.0,60.5,5.1,0.5
"Nara, Japan",100.0,118.0,68.1,59.6,4.3,0.4
"Nara, Japan",100.0,0.0,71.5,58.2,3.8,0.0
"Nara, Japan",100.0,0.0,73.5,57.3,4.0,0.0
"Nara, Japan",100.0,0.0,76.1,56.4,3.4,0.0
