TIME,demand,solar,wind
8:00,"2,389",278,8
9:00,"2,528",379,8
10:00,"2,558",432,11
11:00,"2,594",474,14
12:00,"2,611",450,16
13:00,"2,650",398,18
14:00,"2,633",296,22
15:00,"2,586",183,23
16:00,"2,611",82,23
17:00,"2,701",13,26
18:00,"2,862",0,26
19:00,"2,844",0,27
20:00,"2,743",0,28
21:00,"2,608",0,27
22:00,"2,498",0,28
23:00,"2,349",0,29
0:00,"2,159",0,29
1:00,"2,068",0,28
2:00,"2,052",0,28
3:00,"2,071",0,28
4:00,"2,084",0,29
5:00,"2,107",0,28
6:00,"2,151",2,29
7:00,"2,237",34,29
8:00,"2,330",124,26
9:00,"2,472",323,26
10:00,"2,532",486,27
11:00,"2,637",625,27
12:00,"2,657",634,24
13:00,"2,668",593,24
14:00,"2,653",497,27
15:00,"2,637",363,26
16:00,"2,681",220,23
17:00,"2,719",69,22
18:00,"2,823",1,23
19:00,"2,857",0,22
20:00,"2,749",0,21
21:00,"2,598",0,20
22:00,"2,444",0,21
23:00,"2,304",0,18
0:00,"2,161",0,19
1:00,"2,050",0,19
2:00,"2,034",0,19
3:00,"2,055",0,17
4:00,"2,063",0,17
5:00,"2,043",20,17
6:00,"2,101",149,16
7:00,"2,219",320,15
8:00,"2,391",472,16
9:00,"2,558",577,15
10:00,"2,621",614,15
11:00,"2,657",619,16
12:00,"2,615",552,15
13:00,"2,649",534,22
14:00,"2,671",496,20
15:00,"2,672",363,20
16:00,"2,711",216,19
17:00,"2,744",66,17
18:00,"2,858",0,13
19:00,"2,893",0,15
20:00,"2,781",0,15
21:00,"2,628",0,15
22:00,"2,466",0,14
23:00,"2,289",0,13
0:00,"2,119",0,11
1:00,"2,024",0,8
2:00,"2,033",0,5
3:00,"2,059",0,4
4:00,"2,107",0,7
5:00,"2,146",14,6
6:00,"2,313",104,4
7:00,"2,523",218,3
8:00,"2,769",304,2
9:00,"3,012",352,3
10:00,"3,096",349,4
11:00,"3,160",334,6
12:00,"3,075",257,7
13:00,"3,184",164,7
14:00,"3,209",110,9
15:00,"3,172",60,12
16:00,"3,197",29,14
17:00,"3,204",1,14
18:00,"3,235",0,14
19:00,"3,120",0,20
20:00,"2,948",0,22
21:00,"2,781",0,21
22:00,"2,703",0,21
23:00,"2,529",0,21
0:00,"2,336",0,21
1:00,"2,217",0,21
2:00,"2,188",0,19
3:00,"2,201",0,19
4:00,"2,202",0,20
5:00,"2,189",10,17
6:00,"2,264",112,16
7:00,"2,424",274,14
8:00,"2,701",396,14
9:00,"2,933",463,14
10:00,"2,998",513,12
11:00,"3,015",518,13
12:00,"2,977",532,16
13:00,"3,068",532,19
14:00,"3,094",445,20
15:00,"3,069",293,22
16:00,"3,076",159,23
17:00,"3,036",29,23
18:00,"3,134",0,23
19:00,"3,105",0,20
20:00,"2,943",0,19
21:00,"2,764",0,21
22:00,"2,678",0,21
23:00,"2,521",0,19
0:00,"2,293",0,16
1:00,"2,178",0,16
2:00,"2,163",0,18
3:00,"2,182",0,19
4:00,"2,179",0,20
5:00,"2,134",24,20
6:00,"2,161",155,18
7:00,"2,252",331,16
8:00,"2,391",487,15
9:00,"2,546",594,15
10:00,"2,652",656,13
11:00,"2,715",670,12
12:00,"2,723",637,11
13:00,"2,728",558,9
14:00,"2,710",435,9
15:00,"2,686",310,8
16:00,"2,706",186,7
17:00,"2,770",56,6
18:00,"2,931",1,4
19:00,"2,973",0,3
20:00,"2,859",0,3
21:00,"2,717",0,2
22:00,"2,563",0,2
23:00,"2,400",0,3
0:00,"2,226",0,3
1:00,"2,123",0,4
2:00,"2,126",0,3
3:00,"2,168",0,5
4:00,"2,210",0,5
5:00,"2,258",13,5
6:00,"2,449",90,5
7:00,"2,674",186,5
