Name,Wind Direction,weather_uvindex,Latitude,weather_preciptype,weather_cin,Cloud Cover,Chance Precipitation (%),Date time,Precipitation,Solar Radiation,Dew Point,Relative Humidity,ID,Longitude,Temperature,Visibility,Wind Speed,weather_severerisk,Solar Energy,Heat Index,Snow Depth,Sea Level Pressure,Snow,Name,Wind Gust,Conditions,Wind Chill,weather_cape
"Matsuyama, Japan",152.9,1,33.8349,,0,100,23.7,04/29/2021 20:00:00,0,65,11.1,96.9,602981e3cd,132.762,11.6,16.5,1.1,10,0.2,,0,1009,0,"Matsuyama, Japan",1.8,Overcast,,0
"Matsuyama, Japan",131.9,1,33.8349,,0,100,23.7,04/29/2021 21:00:00,0,54,10.8,96,602981e3cd,132.762,11.4,24.1,6.8,10,0.2,,0,1008,0,"Matsuyama, Japan",6.8,Overcast,,0
"Matsuyama, Japan",128,0,33.8349,,0,30.8,0,04/29/2021 22:00:00,0,0,10.2,94,602981e3cd,132.762,11.1,24.1,6.5,10,0,,0,1008,0,"Matsuyama, Japan",6.1,Partially cloudy,,0
"Matsuyama, Japan",127.9,0,33.8349,,0,1.7,0,04/29/2021 23:00:00,0,0,9.6,92.5,602981e3cd,132.762,10.7,24.1,7.9,10,0,,0,1008,0,"Matsuyama, Japan",6.8,Clear,,0
"Matsuyama, Japan",129.3,0,33.8349,,0,0,0,04/30/2021 00:00:00,0,0,9.1,90.9,602981e3cd,132.762,10.5,24.1,7.9,10,0,,0,1008,0,"Matsuyama, Japan",6.8,Clear,,0
"Matsuyama, Japan",125.2,0,33.8349,,0,0,0,04/30/2021 01:00:00,0,0,8.6,89.5,602981e3cd,132.762,10.3,24.1,8.6,10,0,,0,1007,0,"Matsuyama, Japan",7.2,Clear,,0
"Matsuyama, Japan",133.9,0,33.8349,,0,0,0,04/30/2021 02:00:00,0,0,8.1,87.6,602981e3cd,132.762,10,24.1,8.3,10,0,,0,1007,0,"Matsuyama, Japan",6.8,Clear,8.9,0
"Matsuyama, Japan",130.8,0,33.8349,,0,8.8,0,04/30/2021 03:00:00,0,0,7.6,86,602981e3cd,132.762,9.7,24.1,8.3,10,0,,0,1007,0,"Matsuyama, Japan",6.8,Clear,8.6,0
"Matsuyama, Japan",129.3,0,33.8349,,0,0,14.3,04/30/2021 04:00:00,0,0,7.1,84.9,602981e3cd,132.762,9.7,24.1,8.6,10,0,,0,1007,0,"Matsuyama, Japan",7.2,Clear,8.5,0
"Matsuyama, Japan",130.9,0,33.8349,,0,6,14.3,04/30/2021 05:00:00,0,0,7.1,85,602981e3cd,132.762,9.6,24.1,10.8,10,0,,0,1007,0,"Matsuyama, Japan",9,Clear,8,0
"Matsuyama, Japan",130,0,33.8349,,0,33.7,14.3,04/30/2021 06:00:00,0,5,7.6,84.5,602981e3cd,132.762,10.2,24.1,11.9,10,0,,0,1006,0,"Matsuyama, Japan",12.2,Partially cloudy,,0
"Matsuyama, Japan",133.7,0,33.8349,,0,7,14.3,04/30/2021 07:00:00,0,45,10,82.5,602981e3cd,132.762,12.9,24.1,10.8,10,0.2,,0,1006,0,"Matsuyama, Japan",13.7,Clear,,0
"Matsuyama, Japan",189,1,33.8349,,-18,9.8,14.3,04/30/2021 08:00:00,0,113,10.4,66.3,602981e3cd,132.762,16.6,24.1,7.9,10,0.4,,0,1005,0,"Matsuyama, Japan",24.8,Clear,,19
"Matsuyama, Japan",218.9,2,33.8349,,-15,4.9,14.3,04/30/2021 09:00:00,0,192,9.2,56.9,602981e3cd,132.762,17.9,24.1,10.1,10,0.7,,0,1005,0,"Matsuyama, Japan",28.4,Clear,,28
"Matsuyama, Japan",223.2,8,33.8349,,-3,0,33.2,04/30/2021 10:00:00,0,778,9.1,52.5,602981e3cd,132.762,19.1,24.1,13,10,2.8,,0,1005,0,"Matsuyama, Japan",31.7,Clear,,57
"Matsuyama, Japan",225.2,8,33.8349,,-1,3.7,33.2,04/30/2021 11:00:00,0,845,9.4,50,602981e3cd,132.762,20,24.1,17.6,10,3,,0,1005,0,"Matsuyama, Japan",37.8,Clear,,136
"Matsuyama, Japan",228.9,9,33.8349,,-1,57.7,33.2,04/30/2021 12:00:00,0.1,888,9.2,48.7,602981e3cd,132.762,20.5,24.1,21.2,10,3.2,,0,1004,0,"Matsuyama, Japan",41.4,Partially cloudy,,167
"Matsuyama, Japan",255.2,9,33.8349,rain,-4,94.6,33.2,04/30/2021 13:00:00,0.3,861,10.6,58.5,602981e3cd,132.762,19.1,17.3,22,10,3.1,,0,1004,0,"Matsuyama, Japan",41.4,Overcast,,167
"Matsuyama, Japan",248.7,7,33.8349,,-16,99.5,33.2,04/30/2021 14:00:00,0.2,747,10.5,64.3,602981e3cd,132.762,17.4,24.1,16.6,10,2.7,,0,1004,0,"Matsuyama, Japan",37.8,Overcast,,153
"Matsuyama, Japan",245.1,7,33.8349,,-12,26.5,33.2,04/30/2021 15:00:00,0.2,665,10.4,63.5,602981e3cd,132.762,17.3,24.1,16.2,10,2.4,,0,1004,0,"Matsuyama, Japan",34.6,Partially cloudy,,161
"Matsuyama, Japan",272.6,6,33.8349,,-12,3,4.8,04/30/2021 16:00:00,0.2,615,10.9,70,602981e3cd,132.762,16.5,24.1,20.9,10,2.2,,0,1005,0,"Matsuyama, Japan",34.9,Clear,,164
"Matsuyama, Japan",264.8,5,33.8349,,-37,0.2,4.8,04/30/2021 17:00:00,0,527,7,54.5,602981e3cd,132.762,16.1,24.1,18,10,1.9,,0,1006,0,"Matsuyama, Japan",35.3,Clear,,23
"Matsuyama, Japan",268.1,4,33.8349,,0,0,4.8,04/30/2021 18:00:00,0,426,6.6,59.2,602981e3cd,132.762,14.5,24.1,15.1,10,1.5,,0,1007,0,"Matsuyama, Japan",37.8,Clear,,0
"Matsuyama, Japan",271.1,3,33.8349,,-4,0,4.8,04/30/2021 19:00:00,0,328,5.7,61.5,602981e3cd,132.762,13,24.1,15.8,10,1.2,,0,1008,0,"Matsuyama, Japan",38.9,Clear,,3
"Matsuyama, Japan",277.6,3,33.8349,,-22,0,4.8,04/30/2021 20:00:00,0,262,5.9,63,602981e3cd,132.762,12.8,24.1,20.9,10,0.9,,0,1008,0,"Matsuyama, Japan",41.4,Clear,,14
"Matsuyama, Japan",275,2,33.8349,,-20,0,4.8,04/30/2021 21:00:00,0,219,6.1,65,602981e3cd,132.762,12.5,24.1,21.6,10,0.8,,0,1009,0,"Matsuyama, Japan",39.6,Clear,,32
"Matsuyama, Japan",260.8,0,33.8349,,-1,0,9.5,04/30/2021 22:00:00,0,0,5.9,66.6,602981e3cd,132.762,11.9,24.1,15.5,10,0,,0,1010,0,"Matsuyama, Japan",31.3,Clear,,16
"Matsuyama, Japan",257.5,0,33.8349,,0,0,9.5,04/30/2021 23:00:00,0,0,5.2,69,602981e3cd,132.762,10.9,24.1,13.7,10,0,,0,1010,0,"Matsuyama, Japan",25.2,Clear,,18
"Matsuyama, Japan",243,0,33.8349,,-1,0,9.5,05/01/2021 00:00:00,0,0,4.1,65.9,602981e3cd,132.762,10.5,24.1,13,10,0,,0,1010,0,"Matsuyama, Japan",22.7,Clear,,3
"Matsuyama, Japan",231.1,0,33.8349,,0,0,9.5,05/01/2021 01:00:00,0,0,3.5,65.6,602981e3cd,132.762,9.9,24.1,11.9,10,0,,0,1010,0,"Matsuyama, Japan",23.8,Clear,8.2,2
"Matsuyama, Japan",221.3,0,33.8349,,0,1.2,9.5,05/01/2021 02:00:00,0,0,3.4,66,602981e3cd,132.762,9.6,24.1,9.7,10,0,,0,1010,0,"Matsuyama, Japan",22.7,Clear,8.2,2
"Matsuyama, Japan",207.3,0,33.8349,,0,3.5,9.5,05/01/2021 03:00:00,0,0,3.3,67.4,602981e3cd,132.762,9.2,24.1,9,10,0,,0,1011,0,"Matsuyama, Japan",22.3,Clear,7.8,2
"Matsuyama, Japan",205.1,0,33.8349,,0,4,14.3,05/01/2021 04:00:00,0,0,3,66.6,602981e3cd,132.762,8.9,24.1,9,10,0,,0,1011,0,"Matsuyama, Japan",22,Clear,7.5,0
"Matsuyama, Japan",193.3,0,33.8349,,0,1.8,14.3,05/01/2021 05:00:00,0,0,2.8,67.4,602981e3cd,132.762,8.6,24.1,7.9,10,0,,0,1011,0,"Matsuyama, Japan",18,Clear,7.3,0
"Matsuyama, Japan",185.1,0,33.8349,,0,0,14.3,05/01/2021 06:00:00,0,6,3.1,67.5,602981e3cd,132.762,8.9,24.1,8.3,10,0,,0,1012,0,"Matsuyama, Japan",15.5,Clear,7.6,0
