Name,Cloud Cover,Solar Radiation,Relative Humidity,Temperature,Wind Speed,Solar Energy
"Matsuyama, Japan",100.0,114.0,87.1,13.5,9.2,0.4
"Matsuyama, Japan",100.0,162.0,83.1,14.0,9.0,0.6
"Matsuyama, Japan",85.2,209.0,77.2,14.9,8.6,0.8
"Matsuyama, Japan",70.3,256.0,71.4,15.8,8.3,0.9
"Matsuyama, Japan",55.5,303.0,65.5,16.7,7.9,1.1
"Matsuyama, Japan",37.1,352.0,68.0,16.6,7.2,1.3
"Matsuyama, Japan",18.6,401.0,70.6,16.5,6.5,1.4
"Matsuyama, Japan",0.2,450.0,73.1,16.4,5.8,1.6
"Matsuyama, Japan",0.1,377.3,76.7,15.0,6.5,1.4
"Matsuyama, Japan",0.1,304.7,80.3,13.6,7.2,1.1
"Matsuyama, Japan",0.0,232.0,83.9,12.2,7.9,0.8
"Matsuyama, Japan",0.0,154.7,85.3,11.7,8.3,0.6
"Matsuyama, Japan",0.0,77.3,86.6,11.3,8.6,0.3
"Matsuyama, Japan",0.0,0.0,88.0,10.9,9.0,0.0
"Matsuyama, Japan",0.0,0.0,88.5,10.5,8.5,0.0
"Matsuyama, Japan",0.0,0.0,89.1,10.2,8.0,0.0
"Matsuyama, Japan",0.0,0.0,89.6,9.9,7.6,0.0
"Matsuyama, Japan",0.1,3.0,88.7,9.9,7.6,0.0
"Matsuyama, Japan",0.1,6.0,87.7,9.9,7.6,0.0
"Matsuyama, Japan",0.2,9.0,86.8,9.9,7.6,0.0
"Matsuyama, Japan",9.1,78.7,76.0,12.3,6.8,0.3
"Matsuyama, Japan",17.9,148.3,65.2,14.7,6.1,0.5
"Matsuyama, Japan",26.8,218.0,54.4,17.2,5.4,0.8
"Matsuyama, Japan",17.9,451.7,53.8,17.9,7.7,1.6
"Matsuyama, Japan",8.9,685.3,53.3,18.6,10.0,2.5
"Matsuyama, Japan",0.0,919.0,52.7,19.4,12.2,3.3
"Matsuyama, Japan",6.6,920.0,53.9,19.2,11.3,3.3
"Matsuyama, Japan",13.1,921.0,55.0,18.9,10.3,3.3
"Matsuyama, Japan",19.7,922.0,56.2,18.8,9.4,3.3
"Matsuyama, Japan",46.5,720.3,60.3,17.9,7.4,2.6
"Matsuyama, Japan",73.2,518.7,64.5,17.1,5.5,1.9
"Matsuyama, Japan",100.0,317.0,68.6,16.3,3.6,1.1
"Matsuyama, Japan",69.7,265.0,70.9,15.8,3.7,1.0
"Matsuyama, Japan",39.4,213.0,73.1,15.4,3.8,0.8
"Matsuyama, Japan",9.1,161.0,75.4,15.0,4.0,0.6
"Matsuyama, Japan",6.1,107.3,76.1,14.0,5.2,0.4
"Matsuyama, Japan",3.0,53.7,76.9,13.1,6.4,0.2
"Matsuyama, Japan",0.0,0.0,77.6,12.2,7.6,0.0
"Matsuyama, Japan",0.3,0.0,77.9,12.0,7.3,0.0
"Matsuyama, Japan",0.5,0.0,78.3,11.9,7.1,0.0
"Matsuyama, Japan",0.8,0.0,78.6,11.8,6.8,0.0
"Matsuyama, Japan",0.5,3.0,79.5,12.1,7.2,0.0
"Matsuyama, Japan",0.3,6.0,80.5,12.4,7.6,0.0
"Matsuyama, Japan",0.0,9.0,81.4,12.7,7.9,0.0
"Matsuyama, Japan",14.0,74.7,74.2,14.8,7.2,0.3
"Matsuyama, Japan",27.9,140.3,66.9,16.9,6.5,0.5
"Matsuyama, Japan",41.9,206.0,59.7,19.1,5.8,0.7
"Matsuyama, Japan",36.5,414.0,61.0,19.1,6.7,1.5
"Matsuyama, Japan",31.0,622.0,62.2,19.2,7.7,2.2
"Matsuyama, Japan",25.6,830.0,63.5,19.3,8.6,3.0
"Matsuyama, Japan",28.0,818.3,65.0,18.9,7.3,2.9
"Matsuyama, Japan",30.5,806.7,66.5,18.4,6.0,2.9
"Matsuyama, Japan",32.9,795.0,68.0,18.1,4.7,2.9
"Matsuyama, Japan",42.5,648.3,71.8,17.8,3.6,2.3
"Matsuyama, Japan",52.1,501.7,75.7,17.5,2.5,1.8
"Matsuyama, Japan",61.7,355.0,79.5,17.2,1.4,1.3
"Matsuyama, Japan",44.1,297.7,81.8,16.0,3.8,1.1
"Matsuyama, Japan",26.4,240.3,84.2,14.9,6.2,0.9
"Matsuyama, Japan",8.8,183.0,86.5,13.8,8.6,0.7
"Matsuyama, Japan",9.9,122.0,86.2,13.4,8.5,0.4
"Matsuyama, Japan",11.0,61.0,85.9,13.1,8.4,0.2
"Matsuyama, Japan",12.1,0.0,85.6,12.8,8.3,0.0
"Matsuyama, Japan",17.8,0.0,85.4,12.6,7.6,0.0
"Matsuyama, Japan",23.5,0.0,85.2,12.5,6.8,0.0
"Matsuyama, Japan",29.2,0.0,85.0,12.4,6.1,0.0
"Matsuyama, Japan",41.0,5.8,86.0,12.6,6.2,0.0
"Matsuyama, Japan",52.8,11.7,87.0,12.9,6.4,0.0
"Matsuyama, Japan",64.6,17.5,88.0,13.2,6.5,0.1
"Matsuyama, Japan",76.4,23.3,89.0,13.4,6.6,0.1
